TITLE	DATES	LOCATION	DESCRIPTION
Total Solar Eclipse Party	April 8, 2024	Camp Lucy	Join us for a once-in-a-lifetime Solar Eclipse experience at Camp Lucy, featuring a day filled with celestial wonders, educational insights, and captivating festivities. Our Solar Eclipse Event promises an unforgettable journey into the cosmic spectacle, complete with engaging activities and the expertise of Dr. Michael McElwain, Astrophysicist.  Dr. Michael McElwain is a total solar eclipse enthusiast, an umbraphile. In 2017, Michael led a widely attended expedition at the Blackberry Farm in Tennessee for the Great Eclipse Across America. Michael is a Senior Research Astrophysicist at NASA’s Goddard Space Flight Center, where he is a Project Scientist for the James Webb Space Telescope, NASA’s new flagship mission that is enabling unprecedented observations from our own solar system to the very early universe. Michael is also part of NASA’s team to architect the Habitable Worlds Observatory, a future NASA flagship that aims to discover Earth-like planets orbiting nearby stars and search for signatures of life in their atmospheres. He enjoys stargazing and sharing his excitement for exploring space.  Itinerary:  Monday, April 8th:  10:00 am – Solar Eclipse viewing area opens - Guest check-in at Ian's Chapel 12:16 pm – Partial Eclipse begins 12:30 pm – Presentation by Dr. Michael McElwain, Astrophysicist 1:34 pm – Totality begins and lasts for 3 mins 1:38 pm – Partial Eclipse resumes 1:40 pm – Recap of Event Begins  Ticket Includes:  Entry into the 282-acre resort property with complimentary parking Exclusive presentation by Dr. Michael McElwain, Astrophysicist Custom designed commemorative Solar Eclipse glasses Food & Beverage (Beer & Wine Bar with a Specialty Cocktail) Live acoustic music by Nathan Strubhart Access to the Bonus Experience
Two Births and the Afterlife Exhibit	January 11, 2024 - April 20, 2024	George Washington Carver Museum, Cultural & Genealogy Center	Two Births and the Afterlife features a new body of work by Milwaukee-based artist Aimée M. Everett, exploring the profound transformations experienced during childbirth and the subsequent journey of self-discovery into motherhood. The artist delves into the poignant realization that with every birth, there exists a simultaneous death—the departure of one's former identity to welcome a new, evolved self. Everett vividly portrays the overwhelming joy and simultaneous dissolution of familiar aspects of identity. This body of work—employing abstraction, minimalistic line-making, saturated colors, and melodic compositions—serves as an emotional odyssey.    The months following the birth unfolded into a challenging transition period.
Vampire Weekend Solar Eclipse Concert	April 8, 2024	Moody Amphitheater at Waterloo Park	Vampire Weekend performs during the total solar eclipse on April 8! Eclipse glasses will be provided at the show.
Wild for Good Day Total Solar Eclipse	April 8, 2024	Shield Ranch	Join the Wild for Good supporter group to be part of a very special Wild for Good Day as we experience the Total Solar Eclipse. You and a guest can witness this once-in-a-lifetime celestial event unfold with the community. Immerse yourself in an expansive and stunning Texas Hill Country setting at the Campsite at Shield Ranch. Enjoy self-directed hikes, pinhole camera/sun print craft, communal response/poetry wall, and learning opportunities. Camp Chef Addie will prepare a picnic-style lunch with eclipse-themed delights!  Event Schedule  10:30 am – Gates open 10:30 am – Activities begin 11 am – 1 pm – Lunch buffet noon – 3 pm – Eclipse 3:30 pm – See you next time!
Tuesday Twilights	March 19, 2024 - May 14, 2024	Lady Bird Johnson Wildflower Center	We’re staying open late every Tuesday, March 19 – May 14, to make more hours for wildflowers! Make it a date night, a picnic with friends, or come for some solo solace in nature. Each evening will feature live music from local musicians, a rolling lineup of Austin’s favorite food trucks, and take-and-walk adult beverages for purchase. More details coming soon!  Tuesday Twilights is included with regular garden admission. Reservations are encouraged and become available seven days in advance.
Anni Albers: In Thread and On Paper	February 11, 2024 - June 30, 2024	Blanton Museum of Art	Anni Albers (1899–1994) is considered the most important textile artist of the 20th century. Known for her wall hangings, weavings, and designs, she was also an innovative educator and printmaker. Anni Albers: In Thread and On Paper highlights how nimbly Albers moved between mediums—including her shift from weaving to printmaking in the 1960s—and transitioned between making art and designing functional and commercial objects. In addition to Albers’s woven rugs, tapestries, drawings, and prints, the exhibition features her loom and wallpaper based on her designs. Anni Albers: In Thread and On Paper will be on view starting February 11, 2024 through June 30, 2024.
Black Girls Don't Wear Red Lipstick	February 15, 2024 - April 21, 2024	Austin Central Library Gallery (2nd Floor)	Step into a world of audacious beauty and empowerment with the photo exhibition, Black Girls Don't Wear Red Lipstick, created by the visionary photographer, Leta Harrison, curated by Keyheira Keys and Whitney Hamilton, _OFCOLORATX.  Through images of Black women embracing vibrant colors and confidently wearing shades of red lipstick, Leta's bold photographic prints showcase women using beauty as a form of activism to reclaim their power, challenge oppressive beauty standards, and stifle stereotypes. Leta’s powerful images celebrate each woman’s uniqueness, fostering self-love, promoting positive change, and illustrating Black women breaking free from the shackles of conformity.  About the Artist Leta Harrison is a local Austin photographer with an unwavering passion for capturing the essence of her subjects and telling their powerful stories through her lens. Drawing inspiration from Texas musician, Kam Franklin's artist talk, in which she bravely shared her personal experiences of facing pressure to be more modest and being judged for her expressive style, often considered "too much", Kam's poignant recollection of the phrase, "Black girls don't wear red lipstick," struck a chord with Leta, inspiring her to further uplift the women that she photographs and to create this exhibition.  Photo credit Leta Harrison.
Celest Fest Eclipse	April 5, 2024 - April 9, 2024	Camp Tahuaya	Celest Fest is a family-friendly, sober festival that seeks to create a sacred and transformative experience through the power of song and dance. With a commitment to intimate gatherings and intentional curation, Celest Fest Eclipse aims to rekindle profound connections with self, community, and nature. The festival takes place from April 5th to 9th, 2024  Musical headliners include Gone Gone Beyond, YAIMA, Peia, and Alexa Sunshine Rose.
Color, Light &amp; Space Art Exhibition	March 30, 2024 - May 11, 2024	Stephen L. Clark Gallery	Stephen L. Clark Gallery is excited to present "Color, Light & Space" by Lance Letscher. This exhibition features new colorful, vibrant, and detailed collages and will be showing from March 30th, 2024 to May 11th, 2024.
Injury Prevention and Strenghtening Master Classes	March 19, 2024 - August 27, 2024	Cafe Dance	Join Shakti Moves Dance Company for an hour adult ballet class. Taught by Emily Karnes, get a full range of exercises to keep you moving, breathing and laughing! All levels welcome. Get moving ! Align! Thrive! $30/class register and pay online @www.shaktimovesdc.org/community
Hope for Spring: Texas Water	March 20, 2024 - April 28, 2024	Neill-Cochran House Museum	Spring has returned to the Neill-Cochran House Museum, and with it the fourth annual Hope for Spring exhibition. As we step into spring, Texans begin to hear the call of the beautiful Texas waters from Austin’s Barton Springs Pool to Caddo Lake State Park, all the way to the beaches of Galveston. Whether it’s strolling along the San Antonio River Walk, tubing down the Comal River, or casting a fishing line off the pier in South Padre, Texans will always be pulled towards the water as we march towards the warmer months. Hope for Spring: Texas Water is our celebration of Texas water, and how it revitalizes not only us, but the land around us.  IMPORTANT DATES: Show Dates: Opens March 20th-April 28th Opening Reception: Saturday, March 23rd (free event) Hope for Spring Art on the Lawn: Sunday, April 14th, 11-3pm *This is an exclusive Art on the Lawn specifically for Hope for Spring participating artists.  Hope for Spring: Texas Water will be on display throughout the historic house museum embedded among the NCHM Collection. The exhibition is included with NCHM general admission. Learn more here: https://www.nchmuseum.org/hope-for-spring-texas-water
Hai Fi + Highballs | Vinyl DJ Pop-Up	March 12, 2024 - April 9, 2024	Otoko	A monthly vinyl listening party, where Watertrade hosts a featured DJ from Queer Vinyl Collective to spin paired with a brand who they love! That brand will be the featured sponsor for that night and the week. This event will occur monthly on the 2nd Tuesday of the month in watertrade from 6-9pm. The DJs will set up dueling vinyl decks at the end of the bar. The cocktail feature begins that night and lasts until Saturday of that same week.
